                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0627,                 3.3162,                0.49708,                0.74997,                0.66283,                0.68547,                0.42877,                 1.4682,                 1.5792,                0.39178,               0.082048,              0.0019947,              0.0019947
                      2,                 1.2932,                 1.0426,                0.33941,                 0.9375,                0.86381,                0.93505,                0.63503,                 1.1639,                 0.6721,                0.30134,               0.064028,              0.0039749,              0.0039749
                      3,                 1.0429,                0.65055,                0.28898,                0.94998,                0.93459,                0.97016,                 0.6981,                 1.0277,                0.51153,                0.27192,               0.045989,              0.0059353,              0.0059353
                      4,                0.95633,                0.54261,                 0.2768,                0.95449,                0.94425,                0.97648,                0.71173,                0.99981,                0.47064,                0.26438,               0.027929,               0.007876,               0.007876
                      5,                0.94143,                0.51291,                0.27099,                0.96822,                0.92461,                0.97669,                0.71901,                0.99749,                0.46185,                 0.2657,                0.00985,              0.0097968,              0.0097968
                      6,                0.95562,                0.51588,                0.27248,                0.95528,                0.93936,                0.97394,                0.70204,                 1.0427,                0.49054,                0.27067,              0.0097525,              0.0097525,              0.0097525
                      7,                0.97654,                0.52885,                 0.2755,                0.96935,                0.94136,                0.97686,                0.71102,                 1.0044,                0.49076,                0.26522,              0.0097525,              0.0097525,              0.0097525
                      8,                0.95376,                0.51572,                0.27468,                0.96237,                0.94346,                0.97726,                0.70881,                 1.0297,                 0.4803,                0.26681,               0.009703,               0.009703,               0.009703
                      9,                0.95088,                0.50881,                0.27335,                0.96291,                0.94136,                0.97683,                0.70789,                 1.0285,                 0.4792,                0.26679,              0.0096535,              0.0096535,              0.0096535
                     10,                0.96816,                0.50117,                0.27036,                0.97392,                0.94555,                0.98157,                0.71616,                 1.0162,                0.46443,                 0.2656,               0.009604,               0.009604,               0.009604
                     11,                0.96011,                0.50594,                0.27028,                0.96299,                0.95371,                 0.9805,                0.72182,                0.99381,                0.46766,                0.26063,              0.0095545,              0.0095545,              0.0095545
                     12,                0.96591,                0.50977,                 0.2743,                0.96113,                0.95183,                 0.9811,                0.71054,                0.99878,                0.46587,                0.26635,               0.009505,               0.009505,               0.009505
                     13,                0.93355,                0.49219,                0.27104,                0.96606,                0.94974,                0.98071,                  0.722,                0.98059,                0.46394,                0.26227,              0.0094555,              0.0094555,              0.0094555
                     14,                0.91784,                0.47492,                 0.2686,                0.97304,                0.94477,                0.97834,                0.72547,                0.98572,                0.46979,                0.26324,               0.009406,               0.009406,               0.009406
                     15,                0.93317,                0.48713,                0.27075,                0.96205,                0.94241,                0.97483,                0.72015,                 1.0105,                0.48783,                0.26307,              0.0093565,              0.0093565,              0.0093565
                     16,                 0.9253,                0.48062,                0.26824,                0.97357,                0.95288,                0.98366,                0.72415,                 0.9927,                0.45553,                0.26404,               0.009307,               0.009307,               0.009307
                     17,                0.93755,                0.48924,                0.26759,                0.96275,                0.95079,                0.97834,                0.72382,                0.97721,                0.45934,                0.26105,              0.0092575,              0.0092575,              0.0092575
                     18,                0.93486,                0.48288,                0.26839,                0.97136,                0.95904,                 0.9845,                0.72597,                 0.9894,                0.45071,                0.26239,               0.009208,               0.009208,               0.009208
                     19,                 0.9181,                0.47325,                0.26517,                0.97772,                0.96021,                0.98428,                0.73897,                0.94593,                0.43108,                0.25802,              0.0091585,              0.0091585,              0.0091585
                     20,                0.90918,                 0.4851,                0.26667,                0.97961,                 0.9557,                0.98015,                0.72528,                0.97509,                 0.4332,                0.26177,               0.009109,               0.009109,               0.009109
                     21,                0.92608,                0.47949,                0.26824,                0.97091,                0.96335,                0.98365,                0.73699,                0.96327,                0.44061,                0.26029,              0.0090595,              0.0090595,              0.0090595
                     22,                0.91358,                0.47974,                0.26566,                0.97215,                0.95017,                0.98197,                0.73547,                0.94376,                0.44213,                0.26021,                0.00901,                0.00901,                0.00901
                     23,                0.89983,                0.46576,                0.26503,                0.95967,                0.97068,                0.98578,                0.73186,                0.94926,                0.43679,                0.26059,              0.0089605,              0.0089605,              0.0089605
                     24,                0.91447,                0.46947,                0.26749,                0.94852,                0.96021,                0.98083,                0.72963,                0.97838,                0.44199,                0.26079,               0.008911,               0.008911,               0.008911
                     25,                0.91319,                0.47499,                0.26593,                0.97765,                0.96172,                 0.9831,                0.73118,                0.96517,                0.44367,                0.25912,              0.0088615,              0.0088615,              0.0088615
                     26,                 0.9041,                0.46182,                0.26435,                0.97052,                0.95812,                0.97742,                0.72393,                0.97642,                0.44935,                0.25961,               0.008812,               0.008812,               0.008812
                     27,                 0.8973,                 0.4649,                0.26454,                 0.9669,                0.95393,                0.98206,                0.72925,                0.97057,                0.45928,                0.25972,              0.0087625,              0.0087625,              0.0087625
                     28,                0.89956,                0.46254,                0.26532,                0.97664,                 0.9632,                0.98311,                 0.7416,                0.94792,                0.43078,                0.25666,               0.008713,               0.008713,               0.008713
                     29,                0.89743,                0.45258,                0.26357,                 0.9674,                0.96316,                0.98272,                 0.7417,                 0.9413,                0.42403,                0.25681,              0.0086635,              0.0086635,              0.0086635
                     30,                0.89424,                0.46174,                0.26495,                0.97207,                0.95079,                0.98405,                0.73411,                0.96122,                0.44267,                0.25811,               0.008614,               0.008614,               0.008614
                     31,                0.89414,                0.46396,                0.26257,                0.97065,                 0.9644,                0.98407,                0.73904,                 0.9535,                 0.4316,                0.25808,              0.0085645,              0.0085645,              0.0085645
                     32,                0.88237,                0.45433,                0.26357,                0.97545,                0.95697,                0.98271,                0.74186,                0.93662,                0.42964,                0.25714,               0.008515,               0.008515,               0.008515
