                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0985,                  5.199,                 4.3205,                 3.7282,                 6.6025,                 4.3233,                0.00048,                0.11309,                 0.0005,                0.00015,                 4.0271,                 7.0495,                 3.6689,                 3.2041,                 5.0233,                 3.3454,                0.07008,              0.0033245,              0.0033245
                      2,                 3.6807,                 4.1653,                 3.8799,                 3.3526,                 4.6085,                 3.6866,                0.00466,                0.03979,                0.00203,                0.00062,                 3.4831,                 56.958,                 5.0086,                 3.0693,                  159.2,                  3.996,               0.040047,              0.0066248,              0.0066248
                      3,                 2.7477,                 2.9117,                 2.7623,                 2.6042,                 3.0496,                 2.3003,                0.21399,                0.03455,                0.03965,                 0.0133,                 3.1435,                 3.4355,                 2.4902,                 2.9002,                 3.7224,                 2.1596,              0.0099809,              0.0098922,              0.0098922
                      4,                 2.3515,                 2.1534,                 2.1065,                  2.348,                 2.4249,                 1.8243,                0.18228,                0.41152,                0.13532,                0.05125,                 2.2088,                 2.6877,                 1.9283,                 2.2735,                 3.9535,                 1.8593,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.1032,                 1.7888,                 1.8668,                 2.1667,                 2.0648,                 1.6637,                0.41279,                0.47405,                0.39406,                0.16328,                 2.0497,                 2.1935,                 1.7877,                 2.1362,                  2.489,                 1.7259,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.9608,                  1.613,                 1.7738,                 2.0926,                 1.8113,                 1.6132,                0.53217,                0.51414,                0.48551,                 0.2273,                 1.8129,                 1.6284,                 1.6336,                 1.9661,                 2.0073,                 1.6293,               0.009802,               0.009802,               0.009802
                      7,                 1.8635,                 1.4683,                 1.6944,                 2.0012,                  1.687,                 1.5507,                0.55162,                0.46891,                 0.5006,                0.21881,                 1.9552,                 1.7518,                 1.6585,                 2.0685,                 1.9967,                  1.624,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.7437,                 1.3218,                 1.6073,                 1.9006,                 1.5173,                 1.4909,                0.52123,                0.53717,                0.50085,                0.24609,                 1.8311,                 1.5498,                 1.5925,                 1.8589,                 1.7714,                 1.5127,               0.009703,               0.009703,               0.009703
                      9,                 1.6917,                 1.2541,                 1.5696,                 1.8465,                 1.4193,                 1.4612,                0.72459,                0.67016,                0.73014,                0.36801,                   1.69,                 1.1652,                 1.4591,                 1.7782,                 1.3183,                 1.4388,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.6244,                 1.2069,                  1.546,                 1.8076,                 1.3675,                 1.4442,                0.68834,                0.68223,                0.64604,                0.35457,                 1.4721,                 1.0519,                 1.3897,                 1.5895,                 1.3977,                 1.3677,               0.009604,               0.009604,               0.009604
                     11,                 1.5794,                 1.1494,                 1.4899,                 1.7826,                 1.2917,                 1.4125,                0.13852,                0.38135,                0.09287,                0.04857,                 1.7199,                 6.3153,                 1.5063,                 1.7702,                 5.5361,                 1.4851,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.5406,                 1.0872,                 1.4668,                 1.7522,                  1.228,                 1.3947,                 0.7958,                 0.7631,                0.81931,                0.46097,                 1.4372,                 0.9585,                 1.3519,                 1.6027,                 1.1156,                 1.3401,               0.009505,               0.009505,               0.009505
                     13,                 1.4921,                 1.0405,                 1.4221,                 1.7012,                 1.1678,                  1.351,                0.69015,                 0.5822,                0.64185,                0.33193,                 1.7242,                 1.2793,                 1.4436,                 1.8204,                 1.4856,                 1.4286,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.4594,                 1.0065,                  1.412,                 1.6734,                   1.15,                 1.3472,                 0.8394,                0.71414,                0.82445,                0.47928,                 1.4367,                0.99791,                 1.3259,                 1.5431,                 1.1051,                 1.3156,               0.009406,               0.009406,               0.009406
                     15,                 1.4428,                0.97481,                 1.3857,                 1.6581,                 1.0854,                 1.3206,                0.83822,                0.79756,                0.85504,                0.50851,                  1.346,                0.81066,                 1.2954,                 1.4716,                0.91497,                 1.2956,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.4219,                0.95731,                 1.3781,                   1.64,                 1.0738,                  1.317,                0.81845,                 0.7801,                0.84063,                0.49607,                 1.3566,                0.84468,                 1.3016,                 1.5102,                0.93705,                 1.2971,               0.009307,               0.009307,               0.009307
                     17,                 1.3877,                0.92774,                 1.3609,                  1.609,                 1.0306,                 1.3055,                0.79688,                0.75707,                0.81875,                0.46359,                 1.4086,                0.87397,                 1.2883,                 1.5741,                 1.0159,                 1.2941,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.3784,                0.90251,                 1.3552,                 1.6134,                 1.0106,                 1.2968,                0.80603,                0.79895,                0.81759,                0.49845,                 1.2797,                0.87885,                 1.2437,                 1.4461,                0.95847,                  1.243,               0.009208,               0.009208,               0.009208
                     19,                 1.3464,                0.87693,                 1.3394,                 1.5714,                0.99366,                 1.2836,                 0.8083,                0.78534,                0.82058,                0.49007,                  1.301,                0.80118,                 1.2613,                 1.4275,                0.93339,                 1.2474,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.3248,                0.85597,                 1.3141,                 1.5525,                0.95737,                  1.262,                0.85387,                0.81376,                0.86726,                0.52507,                 1.2877,                0.74194,                  1.239,                 1.4174,                 0.8435,                 1.2317,               0.009109,               0.009109,               0.009109
                     21,                 1.3317,                0.87126,                  1.331,                 1.5731,                0.97674,                 1.2788,                0.85947,                 0.7644,                0.85514,                0.48862,                 1.3864,                0.77249,                 1.2739,                 1.5202,                 0.8575,                 1.2755,              0.0090595,              0.0090595,              0.0090595
                     22,                 1.3016,                0.83855,                  1.302,                 1.5463,                0.92438,                 1.2548,                0.88665,                 0.8109,                0.88465,                0.54642,                 1.2457,                0.74641,                  1.202,                 1.4031,                0.80614,                 1.2169,                0.00901,                0.00901,                0.00901
                     23,                 1.2962,                0.82516,                 1.2975,                 1.5358,                0.89197,                 1.2455,                0.84614,                0.84817,                0.88375,                0.54816,                  1.233,                0.69809,                 1.2112,                 1.4206,                 0.7606,                 1.2227,              0.0089605,              0.0089605,              0.0089605
                     24,                  1.268,                 0.8058,                 1.2931,                    1.5,                0.87854,                 1.2481,                0.86753,                0.82932,                0.87425,                0.53874,                 1.2253,                0.71155,                 1.1897,                 1.3581,                0.79954,                 1.1864,               0.008911,               0.008911,               0.008911
                     25,                 1.2712,                0.79855,                 1.2793,                  1.498,                0.86623,                 1.2219,                 0.8736,                0.78429,                0.88423,                0.51473,                 1.3142,                0.75325,                 1.1976,                 1.4772,                0.80783,                 1.2049,              0.0088615,              0.0088615,              0.0088615
                     26,                  1.252,                0.78357,                 1.2888,                 1.4979,                0.84311,                 1.2401,                0.88886,                0.85236,                0.91928,                0.55712,                 1.2194,                0.70232,                 1.1996,                 1.3956,                0.74087,                 1.2015,               0.008812,               0.008812,               0.008812
                     27,                 1.2595,                0.78264,                 1.2718,                 1.5133,                0.83218,                 1.2275,                0.85562,                0.84396,                0.86737,                0.53816,                 1.2182,                0.70298,                 1.1814,                 1.3554,                0.76439,                 1.1708,              0.0087625,              0.0087625,              0.0087625
                     28,                 1.2378,                 0.7719,                 1.2463,                 1.4826,                0.82953,                 1.2057,                0.85719,                0.85654,                0.87523,                0.54741,                 1.2009,                0.66782,                 1.1667,                 1.3623,                0.74156,                 1.1742,               0.008713,               0.008713,               0.008713
                     29,                 1.2227,                0.76284,                 1.2398,                 1.4668,                0.82999,                 1.2036,                0.86028,                0.86702,                0.89799,                 0.5627,                 1.1754,                0.63755,                 1.1561,                 1.3468,                0.70324,                 1.1659,              0.0086635,              0.0086635,              0.0086635
                     30,                 1.2067,                0.73695,                 1.2373,                 1.4547,                0.78472,                 1.1984,                0.89517,                0.83141,                0.89332,                0.55986,                 1.1769,                0.69504,                 1.1539,                 1.3286,                0.74878,                 1.1685,               0.008614,               0.008614,               0.008614
                     31,                 1.1975,                0.74174,                 1.2311,                 1.4459,                0.79703,                 1.1976,                0.87584,                0.88901,                0.91603,                0.58054,                 1.1479,                0.64267,                  1.132,                 1.3182,                0.65574,                  1.156,              0.0085645,              0.0085645,              0.0085645
                     32,                 1.1913,                0.73342,                 1.2312,                 1.4422,                 0.7803,                 1.1923,                0.85731,                0.86817,                0.88296,                0.54958,                 1.1787,                0.65813,                  1.162,                 1.3191,                0.72639,                 1.1724,               0.008515,               0.008515,               0.008515
                     33,                 1.1963,                 0.7328,                 1.2358,                 1.4402,                0.77662,                 1.1978,                0.83694,                 0.8653,                0.84199,                0.51332,                 1.1915,                0.65535,                 1.1566,                 1.3724,                0.79262,                 1.1601,              0.0084655,              0.0084655,              0.0084655
                     34,                 1.1886,                0.71057,                 1.2168,                 1.4404,                0.76578,                 1.1839,                0.88152,                0.85969,                0.90677,                0.57181,                 1.1482,                0.64777,                 1.1361,                 1.3274,                0.68101,                 1.1559,               0.008416,               0.008416,               0.008416
                     35,                 1.1754,                0.70584,                 1.2108,                 1.4281,                0.74086,                 1.1811,                0.87322,                0.86544,                0.88922,                0.56544,                 1.1256,                0.61012,                 1.1198,                 1.2787,                0.70172,                 1.1319,              0.0083665,              0.0083665,              0.0083665
                     36,                 1.1597,                0.69911,                 1.1982,                 1.4204,                0.73962,                 1.1737,                 0.8948,                0.85026,                0.90686,                 0.5787,                 1.1477,                0.66058,                 1.1491,                 1.2973,                0.66337,                 1.1533,               0.008317,               0.008317,               0.008317
                     37,                  1.175,                 0.7035,                 1.2059,                 1.4287,                0.74523,                 1.1686,                0.89181,                 0.8733,                0.91769,                0.59236,                 1.1412,                0.59519,                 1.1336,                 1.2936,                0.63443,                 1.1426,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.1444,                0.68607,                 1.1885,                 1.3979,                0.72974,                 1.1556,                0.89376,                0.88586,                0.91375,                0.58008,                 1.1153,                0.58461,                  1.115,                 1.2592,                0.65418,                 1.1288,               0.008218,               0.008218,               0.008218
                     39,                 1.1481,                 0.6836,                 1.2037,                 1.3925,                0.72222,                 1.1707,                0.87093,                0.90157,                0.89648,                0.56511,                 1.1113,                 0.6143,                  1.113,                 1.2861,                0.69924,                 1.1263,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.1332,                0.66591,                 1.1843,                 1.3835,                0.69652,                 1.1543,                0.86914,                0.88168,                0.88876,                 0.5698,                 1.1386,                0.58986,                 1.1105,                 1.2802,                0.67439,                 1.1178,               0.008119,               0.008119,               0.008119
                     41,                 1.1443,                 0.6813,                 1.1941,                  1.393,                0.72033,                 1.1545,                0.88141,                0.88901,                0.90355,                0.57719,                 1.1092,                0.65658,                 1.1178,                 1.2568,                0.72962,                 1.1203,              0.0080695,              0.0080695,              0.0080695
                     42,                 1.1198,                 0.6668,                 1.1861,                 1.3782,                 0.7143,                  1.166,                0.87972,                 0.9037,                0.90034,                0.57803,                 1.0765,                0.57013,                 1.0974,                 1.2444,                0.67203,                 1.1217,                0.00802,                0.00802,                0.00802
                     43,                 1.1136,                0.65942,                 1.1745,                 1.3733,                 0.6879,                  1.149,                0.86607,                0.86671,                0.86948,                0.55297,                 1.1428,                0.62072,                 1.1227,                 1.3102,                0.71409,                 1.1351,              0.0079705,              0.0079705,              0.0079705
                     44,                 1.1263,                0.66283,                 1.1901,                 1.3784,                0.68294,                 1.1558,                 0.8734,                0.87958,                 0.8921,                0.58144,                 1.0954,                0.56904,                 1.0982,                 1.2432,                0.66773,                 1.1136,               0.007921,               0.007921,               0.007921
                     45,                 1.1098,                0.64787,                  1.166,                 1.3522,                0.67728,                 1.1352,                0.85961,                0.87958,                 0.8696,                0.55589,                 1.1454,                0.59941,                 1.1251,                 1.2863,                0.73751,                 1.1232,              0.0078715,              0.0078715,              0.0078715
                     46,                 1.1066,                0.64065,                 1.1688,                  1.359,                0.65649,                 1.1349,                0.90435,                0.87644,                0.91631,                0.60252,                 1.0759,                0.55282,                 1.0901,                 1.2241,                0.60078,                 1.1034,               0.007822,               0.007822,               0.007822
                     47,                 1.0878,                0.63494,                 1.1702,                 1.3336,                0.66642,                 1.1375,                0.83903,                0.92251,                0.87434,                0.56991,                 1.0563,                0.56796,                 1.0718,                 1.2151,                0.80364,                 1.0909,              0.0077725,              0.0077725,              0.0077725
                     48,                 1.0884,                0.61588,                 1.1591,                 1.3443,                0.64117,                 1.1313,                0.90166,                0.91309,                0.91569,                0.59793,                 1.0822,                0.54747,                 1.0934,                 1.2236,                 0.5959,                 1.0916,               0.007723,               0.007723,               0.007723
                     49,                 1.0965,                0.62743,                  1.171,                 1.3374,                0.63864,                 1.1373,                0.87788,                0.90576,                0.88951,                0.56847,                 1.1008,                0.57155,                  1.105,                 1.2604,                0.71906,                 1.1068,              0.0076735,              0.0076735,              0.0076735
                     50,                 1.1041,                 0.6298,                 1.1519,                 1.3455,                0.65646,                 1.1211,                0.91886,                0.90576,                0.93359,                0.61909,                 1.0714,                0.54938,                 1.0816,                 1.2065,                0.55262,                  1.085,               0.007624,               0.007624,               0.007624
                     51,                 1.0702,                0.61644,                 1.1495,                 1.3227,                 0.6255,                 1.1215,                0.93738,                0.90366,                0.95363,                0.63767,                 1.0546,                0.52364,                 1.0856,                  1.206,                0.51262,                 1.0973,              0.0075745,              0.0075745,              0.0075745
                     52,                 1.0778,                0.61962,                 1.1542,                 1.3211,                0.63334,                 1.1312,                0.93588,                0.87112,                0.94324,                0.61728,                 1.0881,                0.55731,                 1.0992,                 1.2445,                0.52955,                 1.0998,               0.007525,               0.007525,               0.007525
