epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.6581,3.9739,5.07419,4.33558,0.01207,0.01571,0.00167,0.00052,3.90372,3.78333,3.93567,0.0700798,0.00332447,0.00332447
2,128.034,3.41827,3.82297,3.73031,0.23026,0.03665,0.01885,0.00623,3.34737,15.6098,3.53184,0.0400468,0.00662485,0.00662485
3,189.725,2.71359,2.70731,2.6676,0.5774,0.43064,0.42961,0.15595,2.32394,2.22211,2.10639,0.00998087,0.00989222,0.00989222
4,252.592,2.29729,2.09725,2.09736,0.73362,0.59162,0.61258,0.2581,2.10403,1.59964,1.83164,0.0098515,0.0098515,0.0098515
5,315.025,2.06807,1.73232,1.83578,0.74669,0.58429,0.65176,0.30848,1.92463,1.61476,1.729,0.009802,0.009802,0.009802
6,376.612,1.92548,1.57205,1.75681,0.85306,0.71733,0.79169,0.3748,1.79397,1.29669,1.61328,0.0097525,0.0097525,0.0097525
7,438.347,1.81192,1.41583,1.66188,0.83315,0.76338,0.80705,0.41754,1.66092,1.19937,1.53976,0.009703,0.009703,0.009703
8,500.708,1.7312,1.34203,1.61683,0.80279,0.64084,0.71692,0.36049,1.73192,1.32005,1.52773,0.0096535,0.0096535,0.0096535
9,563.013,1.65693,1.23702,1.55526,0.8339,0.65026,0.75222,0.37919,1.72382,1.20305,1.50286,0.009604,0.009604,0.009604
10,624.889,1.61855,1.19221,1.54094,0.76838,0.7781,0.72846,0.38359,1.60037,1.17339,1.44698,0.0095545,0.0095545,0.0095545
11,686.864,1.57982,1.13447,1.51219,0.84338,0.71612,0.76414,0.38142,1.73088,1.18539,1.53927,0.009505,0.009505,0.009505
12,749.147,1.53066,1.08587,1.46328,0.92386,0.8004,0.863,0.49851,1.44723,0.95897,1.34308,0.0094555,0.0094555,0.0094555
