               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              5.3217,              8.7832,              5.3742,            0.011827,           0.0094241,          0.00083937,          0.00023472,                   0,                   0,                   0,             0.07004,           0.0033289,           0.0033289
                   1,               4.856,              5.6202,              4.9947,            0.016892,             0.13194,           0.0058722,           0.0018041,                   0,                   0,                   0,            0.040007,           0.0066293,           0.0066293
                   2,              3.6237,              3.9523,              3.7952,             0.44046,             0.46178,              0.3203,             0.10885,                   0,                   0,                   0,            0.009941,           0.0098966,           0.0098966
                   3,              2.9309,              2.8158,              2.6837,             0.46749,             0.41466,             0.35555,              0.1279,                   0,                   0,                   0,           0.0098515,           0.0098515,           0.0098515
                   4,              2.6751,              2.3599,              2.3778,             0.71959,             0.65445,              0.7011,              0.3532,                   0,                   0,                   0,           0.0098515,           0.0098515,           0.0098515
                   5,               2.506,              2.1265,              2.2257,             0.86598,             0.68691,             0.77638,             0.41127,                   0,                   0,                   0,            0.009802,            0.009802,            0.009802
                   6,              2.3821,               1.986,              2.1435,             0.83794,             0.71468,             0.78722,             0.38837,                   0,                   0,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,              2.3046,              1.9044,              2.0549,             0.87373,             0.76021,             0.83789,             0.46218,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   8,               2.218,              1.8018,              2.0215,             0.85131,             0.74938,             0.81228,             0.44546,                   0,                   0,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,              2.1498,              1.6929,              1.9685,             0.89456,             0.76397,             0.84294,             0.48311,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                  10,              2.1111,              1.6333,              1.9204,             0.86312,             0.79581,             0.82146,             0.46712,                   0,                   0,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,              2.0704,              1.6151,              1.8927,             0.89779,             0.82777,             0.87335,             0.51022,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                  12,              1.9873,              1.5476,              1.8495,             0.90503,             0.79832,             0.86688,             0.51676,                   0,                   0,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,              1.9838,              1.4732,              1.8256,             0.91042,              0.8178,             0.88412,             0.52607,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                  14,               1.956,              1.4184,              1.8095,             0.88326,             0.79225,             0.86403,             0.50041,                   0,                   0,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,              1.9133,              1.3896,              1.7711,             0.90876,             0.85131,             0.89091,             0.55619,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                  16,              1.8913,              1.3649,              1.7641,             0.90503,             0.84824,             0.90679,             0.56113,                   0,                   0,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,              1.8748,               1.349,              1.7569,             0.94125,             0.84607,              0.9076,             0.56148,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  18,              1.8496,              1.3113,              1.7495,             0.96094,             0.85005,             0.91759,             0.57961,                   0,                   0,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,               1.801,              1.2729,              1.6852,             0.89683,             0.82833,             0.87148,              0.5225,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  20,              1.7847,              1.2661,              1.6955,             0.94723,             0.86453,             0.92451,              0.5879,                   0,                   0,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,              1.7748,              1.2374,              1.6755,             0.92851,             0.85684,             0.91738,              0.5726,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  22,               1.765,              1.2047,              1.6592,             0.93257,             0.86885,              0.9292,              0.5749,                   0,                   0,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,              1.7554,              1.2189,              1.6692,             0.93459,             0.88272,             0.93056,             0.59035,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  24,              1.7395,              1.2116,              1.6505,             0.91825,             0.88215,              0.9194,             0.57614,                   0,                   0,                   0,           0.0088615,           0.0088615,           0.0088615
